"","Name","tenure","Econ_Index","Journal_rank","Gender","Ethnicity","Author.Position","Rank","BA_to_PHD","PHD_to_Fac","Fac_to_decision"
"307","Mallika Thomas",0,"Disciplinary","5","female","6","0",14,8,0,6
"308","Mar Reguant",1,"Disciplinary","1","female","1","1",9,5,0,6
"309","Marc Rysman",1,"Interdisciplinary","3","male","1","1",12,7,0,7
"310","Marc Santugini",1,"Disciplinary","4","male","2","2",35,8,0,6
"311","Marc-Andreas Muendler",1,"Interdisciplinary","2","male","1","1",33,6,1,7
"312","Marciano Siniscalchi",1,"Disciplinary","2","male","1","1",9,6,0,7
"313","Marcin Pęski",1,"Disciplinary","2","male","1","0",16,5,0,6
"314","Marco Angrisani",1,"Interdisciplinary","4","male","1","2",15,9,9,4
"315","Margarida Duarte",1,"Disciplinary","3","female","1","1",16,8,5,3
"316","Maria Goltsman",1,"Disciplinary","3","female","1","0",44,6,0,6
"317","Mariacristina De Nardi",1,"Disciplinary","2","female","1","0",21,6,1,5
"318","Marika Cabral",1,"Disciplinary","1","female","1","0",30,5,0,9
"319","Marine Carrasco",1,"Disciplinary","4","female","1","0",37,4,1,9
"320","Marit Rehavi",1,"Disciplinary","4","female","4","2",26,7,2,7
"321","Mark Borgschulte",1,"Disciplinary","3","male","1","2",28,10,1,9
"322","Mark R. Jacobsen",1,"Disciplinary","3","male","1","1",33,8,0,6
"323","Markus K. Brunnermeier",1,"Disciplinary","2","male","1","1",11,6,0,7
"324","Marti Mestieri",0,"Disciplinary","2","male","4","2",9,8,0,6
"325","Martin Alfaro",1,"Disciplinary","3","male","1","0",47,7,0,7
"326","Martin Benjamin Hackmann",1,"Disciplinary","1","male","1","0",20,7,0,10
"327","Martin Beraja",1,"Disciplinary","1","male","2","1",2,8,1,6
"328","Martin Burda",1,"Disciplinary","4","male","1","0",16,7,0,7
"329","Martin Schneider",1,"Disciplinary","2","male","1","1",4,6,0,8
"330","Marzena J. Rostek",1,"Interdisciplinary","3","female","1","1",38,7,0,6
"331","Massimiliano Amarante",1,"Disciplinary","3","male","1","0",37,6,0,6
"332","Matthew B. Ross",1,"Interdisciplinary","3","male","1","1",39,5,4,2
"333","Matthew Backus",1,"Disciplinary","1","male","1","0",5,9,1,11
"334","Matthew Knepper",0,"Disciplinary","3","male","1","1",46,6,5,4
"335","Matthias Kehrig",1,"Disciplinary","1","male","1","1",19,2,4,10
"336","Mauricio Drelichman",1,"Disciplinary","2","male","4","1",22,7,0,8
"337","Maurizio Mazzocco",1,"Disciplinary","1","male","1","0",20,7,0,7
"338","Meghan M. Skira",1,"Interdisciplinary","3","female","4","2",46,5,0,6
"339","Melanie Morten",1,"Disciplinary","2","female","1","1",4,8,1,7
"340","Melissa Dell",1,"Disciplinary","2","female","1","0",1,7,2,4
"341","Melissa S. Kearney",1,"Disciplinary","3","female","1","2",24,6,4,3
"342","Meredith Startz",0,"Disciplinary","1","female","1","0",4,10,0,3
"343","Mian Dai",1,"Interdisciplinary","4","female","5","3",50,5,0,8
"344","Michael D. Grubb",1,"Disciplinary","3","male","1","0",32,7,6,3
"345","Michael F. Lovenheim",1,"Disciplinary","3","male","1","1",14,7,2,4
"346","Michael G. Mueller-Smith",1,"Disciplinary","3","male","1","1",13,9,2,7
"347","Michael Geruso",1,"Disciplinary","2","male","4","1",30,9,0,8
"348","Michael J. Dickstein",1,"Disciplinary","1","male","4","1",8,6,2.8,6
"349","Michael Peters",1,"Disciplinary","2","male","1","2",10,8,1,7
"350","Michal Kolesár",1,"Disciplinary","1","male","1","2",11,6,0,7
"351","Michal Szkup",1,"Disciplinary","2","male","1","1",26,7,0,9
"352","Michela Giorcelli",1,"Disciplinary","2","female","1","1",20,8,0,6
"353","Miguel Urquiola",1,"Disciplinary","1","male","1","1",6,8,3,6
"354","Mikkel Plagborg-Møller",1,"Disciplinary","3","male","1","1",11,7,1,6
"355","Mikkel Sølvsten",0,"Disciplinary","2","male","1","1",38,7,0,5
"356","Mindy S. Marks",1,"Interdisciplinary","3","female","1","1",39,6,0,7
"357","Modibo Sidibe",0,"Disciplinary","3","male","3","2",19,7,2,6
"358","Monika Piazzesi",1,"Disciplinary","1","female","1","0",4,6,0,3
"359","Mons Chan",0,"Disciplinary","3","male","1","1",16,8,1,5
"360","Moritz Meyer-ter-Vehn",1,"Disciplinary","2","male","1","1",20,5,4,8
"361","Mu-Jeung Yang",0,"Interdisciplinary","3","male","5","1",36,6,0,8
"362","Muhamet Yildiz",1,"Disciplinary","2","male","4","0",2,8,0,7
"363","Muriel Niederle",1,"Disciplinary","1","female","1","1",4,6,0,5
"364","Myrto Kalouptsidi",1,"Disciplinary","2","female","1","0",1,7,1,10
"365","Naoki Aizawa",1,"Disciplinary","2","male","5","0",38,10,0,9
"366","Natalia Kovrijnykh",1,"Disciplinary","2","female","1","0",18,12,0,8
"367","Natalie Bau",1,"Disciplinary","1","female","1","1",20,6,0,3
"368","Nathan Nunn",1,"Disciplinary","2","male","1","1",26,7,0,2
