Name,tenure,Econ_Index,Journal_rank,Gender,Ethnicity,Surname_Initials,Rank,BA_to_PHD,Surname
Denis Nekipelov,1,Disciplinary,0,male,1,3,35,10,Nekipelov
Peter William Newberry,0,Disciplinary,0,male,1,3,13,9,Newberry
Pierre Nguimkeu,1,Disciplinary,0,male,3,3,31,7,Nguimkeu
Muriel Niederle,1,Disciplinary,1,female,1,3,4,6,Niederle
Paul Niehaus,1,Disciplinary,1,male,1,3,33,5,Niehaus
Kristoffer P. Nimark,1,Disciplinary,1,male,1,3,14,4,Nimark
Jawwad Noor,1,Disciplinary,1,male,6,3,12,8,Noor
Jaromir B. Nosal,0,Disciplinary,1,male,1,3,19,6.5,Nosal
Paul Novosad,1,Disciplinary,1,male,1,3,48,14,Novosad
Nathan Nunn,1,Disciplinary,1,male,1,3,26,7,Nunn
Anant Nyshadham,0,Disciplinary,1,male,6,3,15,6,Nyshadham
Ichiro Obara,1,Disciplinary,1,male,5,3,20,7,Obara
Ezra Oberfield,1,Disciplinary,1,male,1,3,11,7,Oberfield
Paulina Oliva,1,Disciplinary,1,female,1,3,15,5,Oliva
Henrique De Oliveira,0,Disciplinary,0,male,2,3,17,6,Oliveira
Wojciech Olszewski,1,Disciplinary,1,male,1,3,9,8,Olszewski
Philip Oreopoulos,1,Disciplinary,1,male,1,3,16,7,Oreopoulos
Juan Ortner,1,Disciplinary,1,male,1,3,12,7,Ortner
Adam Osman,1,Disciplinary,1,male,4,3,28,7,Osman
Sophie Osotimehin,0,Disciplinary,0,female,3,3,35,8,Osotimehin
