Name,tenure,Econ_Index,Journal_rank,Gender,Ethnicity,Surname_Initials,Rank,BA_to_PHD,Surname
Rasmus Lentz,1,Disciplinary,1,male,1,2,38,7,Lentz
Oksana Leukhina,0,Disciplinary,0,female,1,2,36,5,Leukhina
Andrei A. Levchenko,1,Disciplinary,1,male,1,2,13,5,Levchenko
Jonathan Levin,1,Disciplinary,1,male,5,2,4,5,Levin
Jeffrey T. Lewis,1,Disciplinary,0,male,1,2,9,5,Lewis
Ethan G. Lewis,1,Disciplinary,1,male,1,2,48,8,Lewis
Ben Li,0,Disciplinary,0,male,5,2,12,7,Li
Wei Li,1,Disciplinary,1,female,5,2,26,7,Li
Annie Liang,1,Disciplinary,1,female,5,2,9,5,Liang
Zhipeng Liao,1,Disciplinary,1,male,5,2,20,10,Liao
Claire S.H. Lim,0,Disciplinary,1,female,5,2,14,6,Lim
Haizhen Lin,1,Disciplinary,0,female,5,2,49,7,Lin
Leigh L. Linden,1,Disciplinary,1,male,1,2,30,7,Linden
Qingmin Liu,1,Disciplinary,1,male,5,2,6,5,Liu
Ce Liu,0,Disciplinary,0,male,5,2,23,6,Liu
Ting Liu,0,Disciplinary,0,female,5,2,23,7,Liu
Lee Lockwood,0,Disciplinary,1,male,1,2,9,7,Lockwood
Jorge Cruz Lopez,0,Disciplinary,0,male,1,2,44,9,Lopez
Michael F. Lovenheim,1,Disciplinary,0,male,1,2,14,7,Lovenheim
Jay Lu,1,Disciplinary,1,male,5,2,20,8,Lu
Fernando A. Luco,1,Disciplinary,1,male,1,2,25,8,Luco
Vitor Farinha Luz,1,Disciplinary,1,male,6,2,26,8,Luz
Jun Ma,1,Interdisciplinary,0,male,5,3,39,6,Ma
Hugh Macartney,0,Disciplinary,0,male,1,3,19,8,Macartney
Hannes Malmberg,1,Disciplinary,0,male,1,3,21,7,Malmberg
Ulrike Malmendier,1,Disciplinary,1,female,1,3,5,6,Malmendier
Kyle Mangum,0,Disciplinary,1,male,1,3,31,7,Mangum
Kalina Manova,0,Disciplinary,1,female,1,3,4,5,Manova
Iourii Manovskii,1,Disciplinary,1,male,1,3,7,9,Manovskii
Beyza Ural Marchand,1,Disciplinary,0,female,1,3,47,8,Marchand
Joseph Marchand,1,Disciplinary,0,male,1,3,47,7,Marchand
Mindy S. Marks,1,Interdisciplinary,0,female,1,3,39,6,Marks
Vadim Marmer,1,Disciplinary,0,male,1,3,26,9,Marmer
James Marton,1,Interdisciplinary,0,male,1,3,31,6,Marton
Benjamin M. Marx,1,Disciplinary,0,male,1,3,31,13,Marx
Ladan Masoudie,1,Disciplinary,0,female,1,3,15,9,Masoudie
Adrien Matray,0,Disciplinary,1,male,1,3,11,6,Matray
Christian Matthes,1,Interdisciplinary,0,male,1,3,22,6,Matthes
Arnaud Maurel,1,Disciplinary,1,male,4,3,19,6,Maurel
Joe Mazur,0,Disciplinary,0,male,1,3,43,8,Mazur
Maurizio Mazzocco,1,Disciplinary,1,male,1,3,20,7,Mazzocco
William J. McCausland,1,Disciplinary,0,male,1,3,37,13,McCausland
Brian McManus,1,Disciplinary,0,male,1,3,34,5,McManus
Katherine Meckel,1,Disciplinary,1,female,1,3,33,8,Meckel
Jonathan Meer,1,Disciplinary,0,male,6,3,25,7,Meer
Steven Mello,0,Disciplinary,1,male,1,3,48,8,Mello
Emerson Melo,1,Interdisciplinary,0,male,1,3,22,9,Melo
